Indicator type,Indicator,Description
IPv4,135.236.224.91,
IPv4,218.92.0.237,
IPv4,103.20.223.95,
IPv4,80.94.95.112,
IPv4,58.147.171.11,
IPv4,218.92.0.111,
IPv4,193.32.162.137,
IPv4,103.143.11.12,
IPv4,103.14.33.76,
IPv4,128.199.144.179,
IPv4,128.199.144.179,
IPv4,128.199.144.179,
IPv4,128.199.144.179,
IPv4,128.199.144.179,
IPv4,34.91.0.68,
IPv4,128.199.144.179,
IPv4,128.199.144.179,
IPv4,167.172.170.10,
IPv4,128.199.144.179,
IPv4,143.198.197.96,
IPv4,218.92.0.134,
IPv4,128.199.144.179,
IPv4,154.210.129.21,
IPv4,212.29.201.69,
IPv4,218.92.0.134,
IPv4,114.8.146.58,
IPv4,218.92.0.134,
IPv4,218.92.0.237,
IPv4,218.92.0.198,
IPv4,218.92.0.134,
IPv4,217.182.253.249,
IPv4,218.92.0.134,
IPv4,218.92.0.198,
IPv4,112.235.158.151,
IPv4,218.92.0.198,
IPv4,104.236.248.24,
IPv4,103.172.204.127,
IPv4,218.92.0.134,
IPv4,218.92.0.134,
IPv4,170.238.160.191,
IPv4,218.92.0.232,
IPv4,14.128.54.101,
IPv4,165.154.13.166,
IPv4,218.92.0.231,
IPv4,218.92.0.111,
IPv4,218.92.0.134,
IPv4,165.154.13.166,
IPv4,68.183.10.86,
IPv4,218.92.0.218,
IPv4,177.182.181.8,
IPv4,70.67.112.115,
IPv4,162.223.91.130,
IPv4,197.5.145.121,
IPv4,64.227.170.229,
IPv4,20.82.222.158,
IPv4,218.92.0.233,
IPv4,103.176.79.115,
IPv4,167.71.228.77,
IPv4,200.196.50.91,
IPv4,218.92.0.223,
IPv4,115.91.91.182,
IPv4,185.208.180.137,
IPv4,218.92.0.223,
IPv4,159.65.137.154,
IPv4,49.207.2.190,
IPv4,218.92.0.222,
IPv4,218.92.0.236,
IPv4,86.99.3.165,
IPv4,218.92.0.231,
IPv4,218.92.0.231,
IPv4,218.203.173.203,
IPv4,106.58.187.101,
IPv4,218.92.0.198,
IPv4,218.92.0.111,
IPv4,218.92.0.231,
IPv4,218.92.0.111,
IPv4,36.133.139.254,
IPv4,162.214.126.1,
IPv4,162.240.212.247,
IPv4,58.34.135.138,
IPv4,152.32.219.39,
IPv4,46.101.89.24,
IPv4,196.251.84.225,
IPv4,218.92.0.230,
IPv4,103.172.236.15,
IPv4,218.92.0.112,
IPv4,101.126.67.255,
IPv4,218.92.0.220,
IPv4,182.180.154.234,
IPv4,138.68.102.164,
IPv4,128.201.78.253,
IPv4,218.92.0.112,
IPv4,218.92.0.225,
IPv4,118.179.102.248,
IPv4,189.164.71.78,
IPv4,192.210.228.228,
IPv4,107.148.177.37,
IPv4,46.238.32.247,
IPv4,193.32.162.130,
IPv4,195.178.110.207,
IPv4,192.210.193.244,
IPv4,138.68.142.15,
IPv4,193.32.162.130,
IPv4,178.128.17.35,
IPv4,107.151.200.215,
IPv4,218.92.0.218,
IPv4,218.92.0.237,
IPv4,218.92.0.235,
IPv4,92.118.39.75,
IPv4,218.92.0.228,
IPv4,218.92.0.228,
IPv4,218.92.0.228,
IPv4,122.155.223.2,
IPv4,218.92.0.221,
IPv4,142.44.247.114,
IPv4,218.92.0.143,
IPv4,218.92.0.235,
IPv4,163.172.98.52,
IPv4,52.116.195.255,
IPv4,20.127.224.153,
IPv4,167.99.89.66,
IPv4,206.81.14.235,
IPv4,103.141.208.61,
IPv4,64.23.223.156,
IPv4,218.92.0.227,
IPv4,218.92.0.222,
IPv4,60.251.120.199,
IPv4,34.101.48.250,
IPv4,218.92.0.232,
IPv4,182.44.79.69,
IPv4,218.92.0.232,
IPv4,92.118.39.76,
IPv4,218.92.0.217,
IPv4,92.118.39.76,
IPv4,104.28.247.68,
IPv4,188.166.237.80,
IPv4,218.92.0.218,
IPv4,103.99.39.191,
IPv4,49.247.31.251,
IPv4,208.69.84.112,
IPv4,200.189.27.75,
IPv4,128.199.25.46,
IPv4,59.84.11.168,
IPv4,167.71.106.220,
IPv4,143.198.54.251,
IPv4,218.92.0.216,
IPv4,218.92.0.198,
IPv4,209.97.150.67,
IPv4,104.28.163.53,
IPv4,156.236.66.138,
IPv4,218.92.0.227,
IPv4,154.210.129.168,
IPv4,103.10.44.45,
IPv4,57.128.182.5,
IPv4,218.92.0.222,
IPv4,194.0.234.107,
IPv4,218.92.0.227,
IPv4,190.202.71.102,
IPv4,164.163.98.49,
IPv4,171.244.37.96,
IPv4,218.92.0.232,
IPv4,103.82.92.231,
IPv4,218.92.0.230,
IPv4,189.112.242.67,
IPv4,193.32.162.74,
IPv4,218.92.0.233,
IPv4,165.154.187.12,
IPv4,218.92.0.226,
IPv4,161.132.40.106,
IPv4,171.244.37.97,
IPv4,185.255.91.39,
IPv4,218.92.0.219,
IPv4,46.148.229.196,
IPv4,20.193.141.133,
IPv4,24.199.102.230,
IPv4,218.92.0.134,
IPv4,14.103.120.129,
IPv4,92.118.39.86,
IPv4,218.92.0.225,
IPv4,92.118.39.86,
IPv4,218.92.0.134,
IPv4,92.118.39.86,
IPv4,92.118.39.86,
IPv4,14.103.37.51,
IPv4,218.92.0.231,
IPv4,92.118.39.76,
IPv4,218.92.0.198,
IPv4,107.150.121.86,
IPv4,47.93.166.237,
IPv4,191.205.86.190,
IPv4,190.108.60.101,
IPv4,194.152.206.17,
IPv4,218.92.0.228,
IPv4,218.92.0.225,
IPv4,218.92.0.218,
IPv4,107.151.200.215,
IPv4,14.45.226.52,
IPv4,5.154.94.39,
IPv4,163.172.98.52,
IPv4,218.92.0.232,
IPv4,103.152.18.138,
IPv4,107.151.200.215,
IPv4,218.92.0.218,
IPv4,107.151.200.215,
IPv4,45.148.10.47,
IPv4,218.92.0.219,
IPv4,107.151.200.215,
IPv4,174.138.12.223,
IPv4,47.93.166.237,
IPv4,83.254.255.237,
IPv4,218.92.0.198,
