Indicator
a.smokingpenis.club
aa.cyberium.cc
abcdefg.elrooted.com
adadcdad.abcproxy.click
agakarakoccnc.duckdns.org
aiddoscnc2.aisysmddos.com
air.schastin.de
air.sinushost.biz
amenascan.duckdns.org
americanexpressloginus.com
animahuyna.myftp.biz
api.remaiten.org
apocalypsemirai.ddns.net
apple.appaddaggaxx.xyz
b.smokingpenis.club
babamirai31.duckdns.org
back.openother.com
base.monello.tk
base.uboat.ga
batnet.proxyapi.my.id
bigboatzarereppin.hopto.org
binary.microsoftconnect.net
bmw.expcs.xyz
boat.racoon.ml
boatnet.ddns.net
boatnet.vphim.top
bognet.kygtps.live
booooooty.duckdns.org
bot.2024888.site
bot.abcproxy.click
bot.flameofwar.net
bot.fmovies.sk
bot.lukos-trade.ro
bot.merisprivate.net
bot.mypowers.top
bot.ndascad.xyz
bot.suqi.bf
bot.vpnvn4g.com
bot.weizaipay.xyz
bot.wmddos.xyz
bot.work-tools.org
bot.wq.gy
bot2.m1nhbl4ck.social
botnet.0x003.top
botnet.checkgdv.click
botnet.cinquento.publicvm.com
botnet.cloudleaks.cc
botnet.kuykuykuy.com
botnet.lexro.com
botnet.minebeo.fun
botnet.mirailogin.xyz
botnet.nsohunter.com
botnet.openai666.fun
botnet.remaiten.org
botnet.sapphirenet.xyz
botnet.ventoxcfx.click
botnet.voidcdk.com
botnet.zepeck.com
botnetdolly.zapto.org
bots.resentual.cc
bounty.bigbotpein.ru
bueenotgay.duckdns.org
c.nexusiotsolutions.net
c.santaiot.net
c1.cnbot.space
c1.neo-one.info
c2.protopal.club
cat-are-here.ru
cats-are-cute.ru
cats-master.ru
catsquad.co.vu
cb.boatnetswootnet.xyz
ccc.snicker.ir
chanmiraiserver1.duckdns.org
chanmiraixd.duckdns.org
char.aerx.io
chernobyl.stressing.world
ciubuc.diicot.net
cn.uvgczsuidrtg.com
cnc.255gaming.xyz
cnc.ahyfn.com
cnc.alex-botnet.xyz
cnc.anon-net.com
cnc.apollonet.xyz
cnc.apollonet02.com
cnc.arm7plz.xyz
cnc.astrovpn.xyz
cnc.axonstress.fun
cnc.bigbotpein.ru
cnc.bins.sh
cnc.block-dem-packets.com
cnc.bonkers-botnet.xyz
cnc.botnethosts.pw
cnc.casualaffinity.net
cnc.dec9.cf
cnc.dogzsec.org
cnc.duc3k.com
cnc.eatmydick.tk
cnc.encmoney.pw
cnc.flameofwar.net
cnc.getrektlol.xyz
cnc.heherawr.tk
cnc.icdns.online
cnc.infamous.xyz
cnc.iotbotnet.xyz
cnc.joskekurwa.xyz
cnc.junoland.xyz
cnc.kotomari-vn.dev
cnc.kvnode.nl
cnc.leakedfiles.xyz
cnc.linux.lol
cnc.loadingboats.ru
cnc.mariokartayy.com
cnc.merisprivate.net
cnc.miraibot.top
cnc.monkesec.xyz
cnc.mysteriousland.tk
cnc.nullsec.cf
cnc.oneneo.xyz
cnc.rightcdn.ml
cnc.shaffer.cn
cnc.sinsforgiven.xyz
cnc.skidstresser.xyz
cnc.tacobelllover.tk
cnc.tccmn9cs2j3srwmq.tk
cnc.tonguepunchfartbox.life
cnc.trumcode.xyz
cnc.yiffgallery.xyz
cnc.zbenchecken.xyz
cnc3.ghty.online
cncbot.ddns.net
cncreport.gotdns.ch
cocaine.cokepusher.ru
cocaine.dopegame.ru
cocaine.fredosantana.ru
cocaine.traplife.ru
comp56l.duckdns.org
comsuoncondicloud.duckdns.org
condiv9.duckdns.org
control.skidstresser.xyz
csgo.topsnek.net
cuttiecats.ru
d.qqzx.site
dab.piceskeklol.tk
damn.biggay.space
darkattacknet.duckdns.org
darkattackscan.duckdns.org
darkdnsscan.duckdns.org
darksoul.un5t48l3.host
dasdv1.service1921.club
ddos.howardwang2312.com
dev.sharingurl.com
dkdrlahhwlxptmxm2.p-e.kr
dns1.emercoindns.com
doink.societynetwork.xyz
domain.tripplesixtodeath.top
e.xijinping.mov
eaefae.savirland.com
esss.bulletpool.ru
extend.us.to
f.silynigr.xyz
fbi.condi.network
forever.bumiipaneldigital.cloud
ftp.xenonbooter.xyz
get.xijinping.mov
gfedcba.elrooted.com
ghost.lspmodz.ml
git.adwizy.io
gokittler.ru
h2q80nhmyl.duckdns.org
haha.protopal.club
hh.cyberium.cc
himanurnice.ru
honeypie.r-e.kr
horsecocked.4horsemen.pw
hou.zu0x.com
houzi.firehxh.top
huyandvit-cnc.duckdns.org
huyhoang.ddns.net
hwhm.cc5.us.kg
iaopw3djo9.duckdns.org
iholdxrp.ru
iigm.res.in
immafreebitch.ddns.net
info.toasterhosting.stream
irc.potato.solutions
jack.stressing.world
jmdb.ignorelist.com
k.silynigr.xyz
kanikiken.duckdns.org
kekcncdud.linux.lol
kekresultdud.linux.lol
kittler.ru
kittlerer.ru
kittlez.ru
krebs.bigbotpein.com
krebs.fucklevel3.wang
kurwa.barsoeb.space
lana.midnight.pm
listen.kristen.pw
listen.xenonbooter.xyz
lkq.cyberspeed.baby
lo.uvgczsuidrtg.com
loader.upmirai.club
loader1.anothersasa.ru
loadfrom.ftp.sh
lol.godlynet.cf
lol.picesboats.club
magic.bulletvm.net
memes.krebs.net
milnetbrasil.duckdns.org
minecraft.topsnek.net
mir.anonplus.org
mirai.cinquento.publicvm.com
mirai123.ddns.net
miraiddosoffline.ddns.net
mitgpssms.com
music.znods.xyz
mustafababapro31.duckdns.org
mycnc0.ddns.net
myhome.anothersasa.ru
mykittler.ru
myscan0.ddns.net
mysql.microsoftconnect.net
nbot.lmanber.xyz
net.uglistnet.cfd
netkiller.free-ddns.com
network.bigbotpein.com
newkittler.ru
niggabutt.lol
nixw00xtr00x.duckdns.org
noballs.lol
node.forever.bumiipaneldigital.cloud
nohoneyboys.linux.lol
nonamee.zapto.org
ns3.my-ndns.com
o.do.do
okay.gorillamc.party
overloads.us.to
ovz.abhik.net
panel.deewpn.com
park.cyberium.cc
peanutherow.ddns.net
peanutheroz.ddns.net
peasemir.anothersasa.ru
penis.elite-api.su
phidev.duckdns.org
pidors.ddosit.pro
plenkovic.pucaj.ga
polizei.su
powerade.root.sx
psy.hacler.ro
puller.bigpulls.cf
purgeblood.duckdns.org
qittler.ru
qo.ro.lt
r.loadsecure.pw
r.nexusiotsolutions.net
ragebotnet.duckdns.org
ratatouille.allcheesedout.cc
rdp.fucklevel3.wang
really.idoingitagain.space
receive.tonguepunchfartbox.life
receive2.tonguepunchfartbox.life
rep.anothersasa.ru
rep.kekt.network
report.ahyfn.com
report.condinet.cf
report.dec9.cf
report.drytekc.com
report.ifryrouters.tk
report.leakedfiles.xyz
report.mysteriousland.tk
report.potato.solutions
report.shaffer.cn
report.skidsec.org
report.skidstresser.xyz
report.smokemethallday.tk
report.tfmobile.store
repping.wordtheminer.com
resolv.blyat.pw
result.glibc.org
rgvsf.stressamp.com
rofl.leakvortex.pro
root.pizda.site
rpt.openother.com
rucnc.romc2.nl
s.santaiot.net
s.wolfiot.xyz
s0.3eu.ru
s1.novoline.top
scalar.sharingurl.com
scamanje.stresserit.pro
scan.alex-botnet.xyz
scan.alexr00t3d.com
scan.anon-net.com
scan.apollonet.xyz
scan.apollonet02.com
scan.arm7plz.xyz
scan.astrovpn.xyz
scan.casualaffinity.net
scan.flexsecurity.xyz
scan.godmirai.cf
scan.horizonisrising.xyz
scan.junoland.xyz
scan.kvnode.nl
scan.mariokartayy.com
scan.methaddict.xyz
scan.monkesec.xyz
scan.nullsec.cf
scan.packets.cf
scan.rapeme.fun
scan.remaiten.org
scan.santaiot.net
scan.snowondex.net
scan.snowondex.org
scan.spamtech.win
scan.stressfor.me
scan.switcherino.xyz
scan.voxlobid.tk
scan.xyro.xyz
scan1.firewalla1337.cc
scanthembigbots.mikeysyach.xyz
schools.meal-data.com
seeder.zeusgacor.bet
server1.nutsz.club
sheis.lateto.work
sinkhole.fsb.ru
smellyoulater.onthewifi.com
smsfastersend.com
snortcnc.duckdns.org
somethingfastrn.redirectme.net
spamhaus.allowed.org
specbot.duckdns.org
srerv.service1921.live
sroglad.com
srogland.com
srv.vlrt-gap.com
ssh.gammaboat.us
state.zu-mm.com
stone.sinushost.biz
subzerox5.duckdns.org
suckmyass1983.ddns.net
suomi-app.net
suprasrvoknew.giize.com
survur.glibc.org
termine.juwelierhohage.de
termine.juwelier-muenzer.de
termine.juwelier-spieker.de
termine.stauss-uhren-schmuck.de
test.aandy.cf
test.sstresser.eu
testbot.ddosvps.cc
theeyefirewall.su
thekittler.ru
thelipscrub.com
tickets.huettengaudi.co
ubuntu.tel
udptcp.packets.cf
unicorn.d3dx9.ch
urabotnet.duckdns.org
us.miraigains.top
vantrong.id.vn
vavdb.ggm.kr
vm-tastingcollection1.i6m.nl
wanyuyugg.top
whyrwehere.tripplesixtodeath.top
wow.freepein.top
www.1g4kyu21asdgb5.ga
www.amaravaticityportal.com
www.askjasghasg.ru
www.fuck.com
www.gasktfnfqw.su
www.kittylovecenter.tk
www.mvjvuhvevyk.ru
www.satanprayer.cf
www.scotsa.pw
www.trapboat.club
www.violtebotnet.cc
www.yyyds.life
xd.botnet.services
xinglian.us.kg
xz33006.h52l.com
yzykar2.hopto.org
zcjs888.cfd
19485320-coinbase.com
190.btc-f2pool.top
0x.un5t48l3.host
0x01.nexusiotsolutions.net
0x01.preload.su
0x02.preload.su
1.0x004.top
1.70.127.236
10050lan.8b8n.com
http://a.smokingpenis.club
http://aa.cyberium.cc
http://abcdefg.elrooted.com
http://adadcdad.abcproxy.click
http://agakarakoccnc.duckdns.org
http://aiddoscnc2.aisysmddos.com
http://air.schastin.de
http://air.sinushost.biz
http://amenascan.duckdns.org
http://americanexpressloginus.com
http://animahuyna.myftp.biz
http://api.remaiten.org
http://apocalypsemirai.ddns.net
http://apple.appaddaggaxx.xyz
http://b.smokingpenis.club
http://babamirai31.duckdns.org
http://back.openother.com
http://base.monello.tk
http://base.uboat.ga
http://batnet.proxyapi.my.id
http://bigboatzarereppin.hopto.org
http://binary.microsoftconnect.net
http://bmw.expcs.xyz
http://boat.racoon.ml
http://boatnet.ddns.net
http://boatnet.vphim.top
http://bognet.kygtps.live
http://booooooty.duckdns.org
http://bot.2024888.site
http://bot.abcproxy.click
http://bot.flameofwar.net
http://bot.fmovies.sk
http://bot.lukos-trade.ro
http://bot.merisprivate.net
http://bot.mypowers.top
http://bot.ndascad.xyz
http://bot.suqi.bf
http://bot.vpnvn4g.com
http://bot.weizaipay.xyz
http://bot.wmddos.xyz
http://bot.work-tools.org
http://bot.wq.gy
http://bot2.m1nhbl4ck.social
http://botnet.0x003.top
http://botnet.checkgdv.click
http://botnet.cinquento.publicvm.com
http://botnet.cloudleaks.cc
http://botnet.kuykuykuy.com
http://botnet.lexro.com
http://botnet.minebeo.fun
http://botnet.mirailogin.xyz
http://botnet.nsohunter.com
http://botnet.openai666.fun
http://botnet.remaiten.org
http://botnet.sapphirenet.xyz
http://botnet.ventoxcfx.click
http://botnet.voidcdk.com
http://botnet.zepeck.com
http://botnetdolly.zapto.org
http://bots.resentual.cc
http://bounty.bigbotpein.ru
http://bueenotgay.duckdns.org
http://c.nexusiotsolutions.net
http://c.santaiot.net
http://c1.cnbot.space
http://c1.neo-one.info
http://c2.protopal.club
http://cat-are-here.ru
http://cats-are-cute.ru
http://cats-master.ru
http://catsquad.co.vu
http://cb.boatnetswootnet.xyz
http://ccc.snicker.ir
http://chanmiraiserver1.duckdns.org
http://chanmiraixd.duckdns.org
http://char.aerx.io
http://chernobyl.stressing.world
http://ciubuc.diicot.net
http://cn.uvgczsuidrtg.com
http://cnc.255gaming.xyz
http://cnc.ahyfn.com
http://cnc.alex-botnet.xyz
http://cnc.anon-net.com
http://cnc.apollonet.xyz
http://cnc.apollonet02.com
http://cnc.arm7plz.xyz
http://cnc.astrovpn.xyz
http://cnc.axonstress.fun
http://cnc.bigbotpein.ru
http://cnc.bins.sh
http://cnc.block-dem-packets.com
http://cnc.bonkers-botnet.xyz
http://cnc.botnethosts.pw
http://cnc.casualaffinity.net
http://cnc.dec9.cf
http://cnc.dogzsec.org
http://cnc.duc3k.com
http://cnc.eatmydick.tk
http://cnc.encmoney.pw
http://cnc.flameofwar.net
http://cnc.getrektlol.xyz
http://cnc.heherawr.tk
http://cnc.icdns.online
http://cnc.infamous.xyz
http://cnc.iotbotnet.xyz
http://cnc.joskekurwa.xyz
http://cnc.junoland.xyz
http://cnc.kotomari-vn.dev
http://cnc.kvnode.nl
http://cnc.leakedfiles.xyz
http://cnc.linux.lol
http://cnc.loadingboats.ru
http://cnc.mariokartayy.com
http://cnc.merisprivate.net
http://cnc.miraibot.top
http://cnc.monkesec.xyz
http://cnc.mysteriousland.tk
http://cnc.nullsec.cf
http://cnc.oneneo.xyz
http://cnc.rightcdn.ml
http://cnc.shaffer.cn
http://cnc.sinsforgiven.xyz
http://cnc.skidstresser.xyz
http://cnc.tacobelllover.tk
http://cnc.tccmn9cs2j3srwmq.tk
http://cnc.tonguepunchfartbox.life
http://cnc.trumcode.xyz
http://cnc.yiffgallery.xyz
http://cnc.zbenchecken.xyz
http://cnc3.ghty.online
http://cncbot.ddns.net
http://cncreport.gotdns.ch
http://cocaine.cokepusher.ru
http://cocaine.dopegame.ru
http://cocaine.fredosantana.ru
http://cocaine.traplife.ru
http://comp56l.duckdns.org
http://comsuoncondicloud.duckdns.org
http://condiv9.duckdns.org
http://control.skidstresser.xyz
http://csgo.topsnek.net
http://cuttiecats.ru
http://d.qqzx.site
http://dab.piceskeklol.tk
http://damn.biggay.space
http://darkattacknet.duckdns.org
http://darkattackscan.duckdns.org
http://darkdnsscan.duckdns.org
http://darksoul.un5t48l3.host
http://dasdv1.service1921.club
http://ddos.howardwang2312.com
http://dev.sharingurl.com
http://dkdrlahhwlxptmxm2.p-e.kr
http://dns1.emercoindns.com
http://doink.societynetwork.xyz
http://domain.tripplesixtodeath.top
http://e.xijinping.mov
http://eaefae.savirland.com
http://esss.bulletpool.ru
http://extend.us.to
http://f.silynigr.xyz
http://fbi.condi.network
http://forever.bumiipaneldigital.cloud
http://ftp.xenonbooter.xyz
http://get.xijinping.mov
http://gfedcba.elrooted.com
http://ghost.lspmodz.ml
http://git.adwizy.io
http://gokittler.ru
http://h2q80nhmyl.duckdns.org
http://haha.protopal.club
http://hh.cyberium.cc
http://himanurnice.ru
http://honeypie.r-e.kr
http://horsecocked.4horsemen.pw
http://hou.zu0x.com
http://houzi.firehxh.top
http://huyandvit-cnc.duckdns.org
http://huyhoang.ddns.net
