Indicator type,Indicator,Description
URL,http://www10.0zz0.com/,
URL,http://zahraa.mr/,
URL,http://zidpay.org/,
URL,http://zooomyapps.com/,
domain,00373.com,
domain,00934.com,
domain,01cs1sp.com,
domain,01tasp1.com,
domain,01trx.com,
domain,0211a1.com,
domain,0212top.online,
domain,0212top.site,
domain,0212top.top,
domain,0212top.xyz,
domain,03747.com,
domain,047856232.com,
domain,05ob8er0923.com,
domain,06hue1c29p.top,
domain,07159889-coinbase.com,
domain,0909kses.top,
domain,09dfwss6g1v73sya.online,
domain,09j8.com,
domain,0axsip.com,
domain,0chsp0.com,
domain,0n75w55jyk66.pw,
domain,0nedrive.agency,
domain,0x3bd487.open,
domain,1000bottlesparty.com,
domain,100helpchat.com,
domain,100myrtle.com,
domain,10119.shop,
domain,1014666.com,
domain,1015000.com,
domain,10195-coinbase.com,
domain,101zz.store,
domain,106baidu.com,
domain,107baidu.com,
domain,109baidu.com,
domain,10decadesmen.com,
domain,10trioneyue8ss.com,
domain,111auto.store,
domain,111ir.net,
domain,11234jkhfkujhs.online,
domain,11234jkhfkujhs.site,
domain,11234jkhfkujhs.top,
domain,11234jkhfkujhs.xyz,
domain,11246-coinbase.com,
domain,11247-coinbase.com,
domain,11248-coinbase.com,
domain,11258-coinbase.com,
domain,11259-coinbase.com,
domain,113912-coinbase.com,
domain,113baidu.com,
domain,11472-coinbase.com,
domain,116baidu.com,
domain,117baidu.com,
domain,11923-coinbase.com,
domain,11957-coinbase.com,
domain,11beamgools.com,
domain,11cyclesforest.com,
domain,1204knos.ru,
domain,1212stars.online,
domain,1212stars.site,
domain,1212stars.top,
domain,1212stars.xyz,
domain,122welcbk121ed.com,
domain,12301230.co,
domain,123mllhasbrasil.com,
domain,126-com.live,
domain,128147-coinbase.com,
domain,12958-coinbase.com,
domain,12984-okta.com,
domain,12985-coinbase.com,
domain,12jyyu06.com,
domain,13-d.ru,
domain,13130-coinbase.com,
domain,1321baidu.com,
domain,13247-coinbase.com,
domain,13247-icloud.com,
domain,13267-coinbase.com,
domain,146271510-coinbase.com,
domain,146284-coinbase.com,
domain,147260-coinbase.com,
domain,14765-coinbase.com,
domain,14817582-coinbase.com,
domain,14871904-coinbase.com,
domain,14891902-coinbase.com,
domain,1492864-coinbase.com,
domain,158312-coinbase.com,
domain,158372-coinbase.com,
domain,158702-coinbase.com,
domain,15mb2vy4z.top,
domain,16-tons.ru,
domain,16171675-coinbase.com,
domain,16171832-coinbase.com,
domain,16178234-coinbase.com,
domain,16178237-coinbase.com,
domain,16178434-coinbase.com,
domain,162178-coinbase.com,
domain,162478-coinbase.com,
domain,162782-coinbase.com,
domain,162812-coinbase.com,
domain,162814-coinbase.com,
domain,163inc.com,
domain,16442580-coinbase.com,
domain,16450107-coinbase.com,
domain,16450207-coinbase.com,
domain,16458207-coinbase.com,
domain,16478202-coinbase.com,
domain,164872942-coinbase.com,
domain,16590-coinbase.com,
domain,16594373-coinbase.com,
domain,16624831-coinbase.com,
domain,16642124-coinbase.com,
domain,16642172-coinbase.com,
domain,16642580-coinbase.com,
domain,16642721-coinbase.com,
domain,16642724-coinbase.com,
domain,16642871-coinbase.com,
domain,16642872-coinbase.com,
domain,16712942-coinbase.com,
domain,16718672-coinbase.com,
domain,16728342-coinbase.com,
domain,16728348-coinbase.com,
domain,16728442-coinbase.com,
domain,16728472-coinbase.com,
domain,167285-coinbase.com,
domain,16729042-coinbase.com,
domain,16748272-coinbase.com,
domain,16782942-coinbase.com,
domain,16827420-coinbase.com,
domain,16827423-coinbase.com,
domain,16847145-coinbase.com,
domain,16893924-coinbase.com,
domain,16clouds.com,
domain,16mbzrw2g2.top,
domain,17182-coinbase.com,
domain,172486-coinbase.com,
domain,17255030-coinbase.com,
domain,17259-kraken.com,
domain,17284652-coinbase.com,
domain,17286-coinbase.com,
domain,17334522-coinbase.com,
domain,17334522-kraken.com,
domain,17384522-coinbase.com,
domain,173912-coinbase.com,
domain,17494976-coinbase.com,
domain,17512854-coinbase.com,
domain,17525030-coinbase.com,
domain,17529580-coinbase.com,
domain,17614-coinbase.com,
domain,17619-coinbase.com,
domain,176284-coinbase.com,
domain,17823920-coinbase.com,
domain,178253-coinbase.com,
domain,178294-coinbase.com,
domain,17912-coinbase.com,
domain,17914-coinbase.com,
domain,17917-coinbase.com,
domain,17954-coinbase.com,
domain,17958-coinbase.com,
domain,182043-coinbase.com,
domain,18275-gemini.com,
domain,18276-coinbase.com,
domain,18290185-coinbase.com,
domain,182967-coinbase.com,
domain,18560-coinbase.com,
domain,18571-coinbase.com,
domain,185912-coinbase.com,
domain,18592176-coinbase.com,
domain,18594162-coinbase.com,
domain,18594962-coinbase.com,
domain,18597162-coinbase.com,
domain,18719562-coinbase.com,
domain,1875290-coinbase.com,
domain,1882730-coinbase.com,
domain,18902-coinbase.com,
domain,18903-coinbase.com,
domain,189126-coinbase.com,
domain,18952-coinbase.com,
domain,192854-coinbase.com,
domain,19287-binance.com,
domain,1930-moscow.com,
domain,19572-coinbase.com,
domain,195812-coinbase.com,
domain,195826-coinbase.com,
domain,1958262-coinbase.com,
domain,1958297-coinbase.com,
domain,19582970-coinbase.com,
domain,19582971-coinbase.com,
domain,19583-coinbase.com,
domain,19592653-coinbase.com,
domain,197304-coinbase.com,
domain,19730492-coinbase.com,
domain,19764162-coinbase.com,
domain,19803-coinbase.com,
domain,1blob.monster,
domain,1first-cdn.com,
domain,1h343lkxf4pikjd.dad,
domain,1inchs.net,
domain,1messisnfarm.com,
domain,1stemployer.com,
domain,1sunwin.top,
domain,1synovus.info,
domain,1tutor.ru,
domain,1tv-cup.com,
domain,1tv-cup.ru,
domain,1tvcup.com,
domain,1typ.top,
domain,1veo.shop,
domain,2-gis.kz,
domain,20041.com,
domain,2012yandex.ru,
domain,201784289-coinbase.com,
domain,2024-7zip.info,
domain,2024-7zip.pw,
domain,2024-aimp.info,
domain,2024-aimp.pw,
domain,2024aimp.info,
domain,2024clio.one,
domain,2024clio.top,
domain,2024mycase.com,
domain,2024mycase.win,
domain,2024olympicroster.com,
domain,2024olympicsroster.com,
domain,2024olympicstracker.com,
domain,2024olympictracker.com,
domain,2024sage.win,
domain,2024sharepoint.lat,
domain,2024xero.com,
domain,2028losangelessummerolympics.com,
domain,2034olympics.com,
domain,210823644-coinbase.com,
domain,21158-coinbase.com,
domain,21509-coinbase.com,
domain,21centuryart.com,
domain,2231baidu.com,
domain,2311foreign.xyz,
domain,2311forget.online,
domain,2311forget.site,
domain,2311forget.xyz,
